team_id,team_name
929,Adams St. Grizzlies
3,Adelphi Panthers
4,Adrian Bulldogs
2798,Albertus Magnus Falcons
15,Albion Britons
16,Albright Lions
934,Alderson Broaddus Battlers
18,Alfred Saxons
19,Allegheny Gators
21,Alma Scots
938,Alvernia Golden Wolves
22,American Int'l Yellow Jackets
24,Amherst Mammoths
939,Anderson (IN) Ravens
13028,Anderson (SC) Trojans
26,Anna Maria AMCATS
966,Arcadia Knights
36,Assumption Greyhounds
40,Augustana (IL) Vikings
42,Aurora Spartans
44,Averett Cougars
45,Babson Beavers
46,Baldwin Wallace Yellow Jackets
15646,Barton Bulldogs
50,Bates Bobcats
52,Bellarmine Knights
2683,Belmont Abbey Crusaders
53,Beloit Buccaneers
296,Benedictine (IL) Eagles
56,Bentley Falcons
973,Berry Vikings
59,Bethany (WV) Bison
62,Binghamton Bearcats
28593,Birmingham-So. Panthers
68,Boston U. Terriers
69,Bowdoin Polar Bears
30094,Brevard Tornados
75,Bridgewater (VA) Eagles
80,Brown Bears
81,Bryant Bulldogs
30188,Bryn Athyn Lions
83,Bucknell Bison
88,Cabrini Cavaliers
1305,Cairn Highlanders
995,Caldwell Cougars
114,Calvin Knights
116,Canisius Golden Griffins
117,Capital Comets
120,Carroll (WI) Pioneers
121,Carthage Firebirds
123,Castleton Spartans
1001,Catawba Catawba Indians
124,Catholic Cardinals
23624,Cazenovia Wildcats
125,Centenary (LA) Gents
12884,Centenary (NJ) Cyclones
132,Centre Colonels
10972,Chatham Cougars
21323,Chestnut Hill Griffins
8875,Chowan Hawks
139,Chris. Newport Captains
145,Clark (MA) Cougars
146,Clarkson Golden Knights
148,Cleveland St. Vikings
1023,Coker Cobras
151,Colby Mules
153,Colgate Raiders
451,CMSV Dolphins
285,Holy Cross Crusaders
154,Colorado Col. Tigers
11416,Colorado Mesa Mavericks
2720,CSU Pueblo ThunderWolves
160,Concordia Chicago Cougars
1036,Concordia Wisconsin Falcons
163,Connecticut Col. Camels
166,Cornell College Rams
167,Cornell Big Red
170,Curry Colonels
1059,D'Youville Saints
172,Dartmouth Big Green
30221,Davenport Panthers
174,Davis & Elkins Senators
30219,Dean Bulldogs
179,Delaware Valley Aggies
182,Denison Big Red
177,DePauw Tigers
20,DeSales Bulldogs
185,Dickinson Red Devils
8956,Dominican (NY) Chargers
190,Drew Rangers
191,Drexel Dragons
193,Duke Blue Devils
195,Earlham Quakers
200,Eastern Conn. St. Warriors
1064,Eastern Nazarene Lions
8968,Eastern Eagles
1066,Edgewood Eagles
211,Elizabethtown Blue Jays
212,Elmhurst Bluejays
